file_path,format,overall_score,word_count,is_stub,is_hub,word_count_score,version_currency_score,crosslinks_score,url_structure_score,structured_data_score,code_examples_score,categories_score
/root/wikimigration/documentation-consolidation/scripts/converted/getting-started/installing-dreamfactory/windows-installation.wiki,wiki,90,3282,False,False,20,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/getting-started/optimizing-dreamfactory/database.wiki,wiki,82.5,573,False,False,20,20,7.5,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/getting-started/optimizing-dreamfactory/php-laravel.wiki,wiki,82.5,662,False,False,20,20,7.5,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/getting-started/optimizing-dreamfactory/webserver.wiki,wiki,82.5,641,False,False,20,20,7.5,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/introduction/introducing-rest-dreamfactory.wiki,wiki,79.5,2641,False,False,20,20,7.5,7.0,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/introduction/introduction.wiki,wiki,74.7,442,False,True,17.7,20,15,7.0,0,0,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/config/cors-ssl.wiki,wiki,75,1715,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/logstash.wiki,wiki,78.8,2383,False,False,20,20,3.8,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/the-system-api/01-system-api-brief.wiki,wiki,90,943,False,False,20,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/the-system-api/02-user-management.wiki,wiki,87.9,448,False,False,17.9,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/the-system-api/03-service-management.wiki,wiki,90,1161,False,False,20,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/the-system-api/04-role-management.wiki,wiki,90,882,False,False,20,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/system-settings/the-system-api/05-api-key-management.wiki,wiki,90,968,False,False,20,20,15,10,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/upgrades-and-migrations/upgrading-migrating-dreamfactory.wiki,wiki,83.2,1188,False,False,20,20,11.2,7.0,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/upgrades-and-migrations/upgrading-php-windows.wiki,wiki,82.9,398,False,False,15.9,20,15,7.0,0,10,15
/root/wikimigration/documentation-consolidation/scripts/converted/upgrades-and-migrations/upgrading-to-php-8_1.wiki,wiki,79.2,2879,False,False,20,16,11.2,7.0,0,10,15
