source,old_path,new_url,wiki_page
df-docs/df-docs/docs/system-settings/the-system-api/02-user-management.md,/system-settings/the-system-api/02-user-management,https://wiki.dreamfactory.com/wiki/System_Settings/02_User_Management,System_Settings/02_User_Management
df-docs/df-docs/docs/system-settings/the-system-api/01-system-api-brief.md,/system-settings/the-system-api/01-system-api-brief,https://wiki.dreamfactory.com/wiki/System_Settings/01_System_Api_Brief,System_Settings/01_System_Api_Brief
df-docs/df-docs/docs/system-settings/the-system-api/04-role-management.md,/system-settings/the-system-api/04-role-management,https://wiki.dreamfactory.com/wiki/System_Settings/04_Role_Management,System_Settings/04_Role_Management
df-docs/df-docs/docs/system-settings/the-system-api/03-service-management.md,/system-settings/the-system-api/03-service-management,https://wiki.dreamfactory.com/wiki/System_Settings/03_Service_Management,System_Settings/03_Service_Management
df-docs/df-docs/docs/system-settings/config/cache.md,/system-settings/config/cache,https://wiki.dreamfactory.com/wiki/System_Settings/Cache,System_Settings/Cache
df-docs/df-docs/docs/system-settings/config/system-info.md,/system-settings/config/system-info,https://wiki.dreamfactory.com/wiki/System_Settings/System_Info,System_Settings/System_Info
df-docs/df-docs/docs/system-settings/config/email-templates.md,/system-settings/config/email-templates,https://wiki.dreamfactory.com/wiki/System_Settings/Email_Templates,System_Settings/Email_Templates
df-docs/df-docs/docs/system-settings/config/cors-ssl.md,/system-settings/config/cors-ssl,https://wiki.dreamfactory.com/wiki/System_Settings/Cors_Ssl,System_Settings/Cors_Ssl
df-docs/df-docs/docs/system-settings/config/global-lookup-keys.md,/system-settings/config/global-lookup-keys,https://wiki.dreamfactory.com/wiki/System_Settings/Global_Lookup_Keys,System_Settings/Global_Lookup_Keys
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/converting-excel-to-json.md,/api-generation-and-connections/api-types/file/converting-excel-to-json,https://wiki.dreamfactory.com/wiki/Converting_Excel_To_Json,Converting_Excel_To_Json
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-aws-s3-rest-api.md,/api-generation-and-connections/api-types/file/creating-aws-s3-rest-api,https://wiki.dreamfactory.com/wiki/Creating_Aws_S3_Rest_Api,Creating_Aws_S3_Rest_Api
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-sftp-rest-api.md,/api-generation-and-connections/api-types/file/creating-sftp-rest-api,https://wiki.dreamfactory.com/wiki/Creating_Sftp_Rest_Api,Creating_Sftp_Rest_Api
